regioniD	roidata	subject	group
1	1	A1C	sub-1	group1
2	2	DFC	sub-1	group1
3	3	IPC	sub-1	group1
4	4	ITC	sub-1	group1
5	5	M1C	sub-1	group1
6	6	MFC	sub-1	group1
7	7	OFC	sub-1	group1
8	8	S1C	sub-1	group1
9	9	STC	sub-1	group1
10	10	V1C	sub-1	group1
11	11	VFC	sub-1	group1
12	12	A1C	sub-2	group1
13	13	DFC	sub-2	group1
14	14	IPC	sub-2	group1
15	15	ITC	sub-2	group1
16	16	M1C	sub-2	group1
17	17	MFC	sub-2	group1
18	18	OFC	sub-2	group1
19	19	S1C	sub-2	group1
20	20	STC	sub-2	group1
21	21	V1C	sub-2	group1
22	22	VFC	sub-2	group1
23	23	A1C	sub-3	group1
24	24	DFC	sub-3	group1
25	25	IPC	sub-3	group1
26	26	ITC	sub-3	group1
27	27	M1C	sub-3	group1
28	28	MFC	sub-3	group1
29	29	OFC	sub-3	group1
30	30	S1C	sub-3	group1
31	31	STC	sub-3	group1
32	32	V1C	sub-3	group1
33	33	VFC	sub-3	group1
34	34	A1C	sub-4	group1
35	35	DFC	sub-4	group1
36	36	IPC	sub-4	group1
37	37	ITC	sub-4	group1
38	38	M1C	sub-4	group1
39	39	MFC	sub-4	group1
40	40	OFC	sub-4	group1
41	41	S1C	sub-4	group1
42	42	STC	sub-4	group1
43	43	V1C	sub-4	group1
44	44	VFC	sub-4	group1
45	45	A1C	sub-5	group1
46	46	DFC	sub-5	group1
47	47	IPC	sub-5	group1
48	48	ITC	sub-5	group1
49	49	M1C	sub-5	group1
50	50	MFC	sub-5	group1
51	51	OFC	sub-5	group1
52	52	S1C	sub-5	group1
53	53	STC	sub-5	group1
54	54	V1C	sub-5	group1
55	55	VFC	sub-5	group1
56	56	A1C	sub-6	group2
57	57	DFC	sub-6	group2
58	58	IPC	sub-6	group2
59	59	ITC	sub-6	group2
60	60	M1C	sub-6	group2
61	61	MFC	sub-6	group2
62	62	OFC	sub-6	group2
63	63	S1C	sub-6	group2
64	64	STC	sub-6	group2
65	65	V1C	sub-6	group2
66	66	VFC	sub-6	group2
67	67	A1C	sub-7	group2
68	68	DFC	sub-7	group2
69	69	IPC	sub-7	group2
70	70	ITC	sub-7	group2
71	71	M1C	sub-7	group2
72	72	MFC	sub-7	group2
73	73	OFC	sub-7	group2
74	74	S1C	sub-7	group2
75	75	STC	sub-7	group2
76	76	V1C	sub-7	group2
77	77	VFC	sub-7	group2
78	78	A1C	sub-8	group2
79	79	DFC	sub-8	group2
80	80	IPC	sub-8	group2
81	81	ITC	sub-8	group2
82	82	M1C	sub-8	group2
83	83	MFC	sub-8	group2
84	84	OFC	sub-8	group2
85	85	S1C	sub-8	group2
86	86	STC	sub-8	group2
87	87	V1C	sub-8	group2
88	88	VFC	sub-8	group2
89	89	A1C	sub-9	group2
90	90	DFC	sub-9	group2
91	91	IPC	sub-9	group2
92	92	ITC	sub-9	group2
93	93	M1C	sub-9	group2
94	94	MFC	sub-9	group2
95	95	OFC	sub-9	group2
96	96	S1C	sub-9	group2
97	97	STC	sub-9	group2
98	98	V1C	sub-9	group2
99	99	VFC	sub-9	group2
100	100	A1C	sub-10	group2
101	101	DFC	sub-10	group2
102	102	IPC	sub-10	group2
103	103	ITC	sub-10	group2
104	104	M1C	sub-10	group2
105	105	MFC	sub-10	group2
106	106	OFC	sub-10	group2
107	107	S1C	sub-10	group2
108	108	STC	sub-10	group2
109	109	V1C	sub-10	group2
110	110	VFC	sub-10	group2
