V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223	V224	V225	V226	V227	V228	V229	V230	V231	V232	V233	V234	V235	V236	V237	V238	V239	V240	V241	V242	V243	V244	V245	V246	V247	V248	V249	V250	V251	V252	V253	V254	V255	V256	V257	V258	V259	V260	V261	V262	V263	V264	V265	V266	V267	V268	V269	V270	V271	V272	V273	V274	V275	V276	V277	V278	V279	V280	V281	V282	V283	V284	V285	V286	V287	V288	V289	V290	V291	V292	V293	V294	V295	V296	V297	V298	V299	V300	V301	V302	V303	V304	V305	V306	V307	V308	V309	V310	V311	V312	V313	V314	V315	V316	V317	V318	V319	V320	V321	V322	V323	V324	V325	V326	V327	V328	V329	V330	V331	V332	V333	V334	V335	V336	V337	V338	V339	V340	V341	V342	V343	V344	V345	V346	V347	V348	V349	V350	V351	V352	V353	V354	V355	V356	V357	V358	V359	V360	V361	V362	V363	V364	V365	V366	V367	V368	V369	V370	V371	V372	V373	V374	V375	V376	V377	V378	V379	V380	V381	V382	V383	V384	V385	V386	V387	V388	V389	V390	V391	V392	V393	V394	V395	V396	V397	V398	V399	V400	V401	V402	V403	V404	V405	V406	V407	V408	V409	V410	V411	V412	V413	V414	V415	V416	V417	V418	V419	V420
1	11627	11628	11623	11618	11596	11618	11605	11605	11637	11625	11640	11633	11638	11635	11635	11629	11598	11605	11588	11585	11617	11612	11601	11601	11599	11612	11624	11656	11645	11664	11663	11647	11650	11619	11605	11594	11605	11622	11625	11635	11664	11649	11652	11641	11634	11629	11609	11585	11586	11570	11564	11625	11640	11642	11645	11656	11636	11640	11641	11649	11614	11639	11638	11638	11606	11591	11580	11591	11574	11571	11601	11581	11614	11619	11630	11636	11616	11645	11629	11625	11626	11634	11634	11637	11628	11642	11628	11648	11597	11597	11617	11627	11620	11612	11631	11608	11628	11594	11609	11596	11604	11632	11636	11634	11662	11686	11700	11705	11685	11643	11678	11654	11642	11658	11639	11639	11660	11648	11641	11660	11664	11646	11660	11650	11628	11664	11647	11634	11641	11615	11613	11631	11642	11658	11662	11662	11641	11650	11622	11617	11610	11603	11607	11617	11633	11644	11631	11633	11633	11614	11603	11608	11620	11616	11622	11602	11605	11588	11623	11630	11652	11668	11672	11665	11677	11659	11676	11657	11619	11618	11633	11645	11653	11661	11651	11640	11627	11634	11638	11634	11647	11632	11602	11692	11621	11678	11664	11640	11648	11638	11655	11662	11664	11631	11635	11629	11629	11598	11584	11597	11599	11631	11640	11622	11588	11577	11576	11600	11586	11614	11620	11634	11642	11642	11634	11655	11650	11646	11664	11617	11617	11624	11623	11635	11666	11656	11644	11651	11665	11642	11660	11637	11617	11616	11602	11610	11630	11620	11597	11596	11617	11663	11625	11653	11636	11654	11631	11624	11615	11637	11633	11627	11633	11621	11615	11577	11599	11577	11597	11568	11595	11602	11631	11645	11649	11654	11643	11629	11624	11612	11605	11587	11583	11580	11550	11573	11584	11577	11604	11589	11601	11622	11637	11634	11655	11680	11683	11682	11686	11680	11676	11666	11659	11653	11639	11628	11626	11606	11600	11571	11589	11582	11570	11583	11580	11576	11607	11627	11637	11634	11632	11619	11615	11638	11633	11655	11661	11651	11686	11678	11674	11660	11636	11637	11637	11629	11595	11608	11609	11614	11611	11611	11606	11584	11571	11578	11583	11588	11604	11623	11629	11650	11633	11637	11620	11626	11633	11628	11635	11648	11655	11649	11654	11656	11621	11649	11603	11632	11625	11605	11647	11625	11639	11658	11625	11632	11628	11617	11617	11602	11604	11631	11621	11608	11612	11620	11634	11651	11650	11630	11640	11612	11593	11602	11634	11634	11645	11641	11622	11607	11644	11631	11639	11636	11629	11641	11625	11623	11596	11623	11610	11614	11625	11598	11627	11644	11620	11620	11620	11649	11652	11656	11623	11655	11654	11657	11650	11658	11629	11617
2	11827	11823	11828	11823	11818	11830	11824	11822	11847	11832	11855	11826	11848	11863	11858	11837	11811	11817	11837	11836	11852	11852	11832	11848	11838	11859	11851	11839	11816	11813	11822	11816	11832	11842	11824	11820	11813	11814	11827	11814	11840	11840	11843	11833	11830	11841	11832	11817	11844	11831	11828	11848	11856	11851	11838	11840	11822	11835	11837	11824	11829	11823	11821	11847	11849	11839	11828	11839	11833	11829	11811	11791	11836	11827	11841	11850	11864	11837	11852	11822	11819	11822	11833	11836	11818	11833	11834	11840	11844	11826	11826	11844	11845	11836	11831	11818	11822	11837	11842	11852	11856	11877	11858	11862	11868	11866	11877	11872	11841	11842	11838	11835	11823	11835	11831	11835	11840	11848	11847	11845	11851	11835	11846	11845	11851	11862	11851	11848	11849	11848	11837	11814	11814	11822	11824	11823	11824	11839	11819	11818	11820	11819	11814	11825	11823	11852	11825	11837	11828	11814	11813	11806	11826	11842	11830	11820	11834	11825	11829	11828	11859	11860	11868	11848	11893	11870	11842	11846	11826	11808	11822	11837	11839	11840	11845	11840	11813	11823	11834	11814	11821	11830	11820	11834	11832	11847	11849	11840	11835	11831	11858	11847	11836	11824	11819	11847	11837	11830	11804	11788	11801	11790	11824	11813	11806	11792	11791	11802	11798	11806	11828	11831	11833	11837	11838	11853	11868	11876	11859	11855	11862	11865	11832	11827	11835	11846	11863	11879	11882	11884	11877	11839	11837	11818	11800	11809	11815	11829	11813	11834	11835	11860	11831	11854	11858	11858	11826	11836	11835	11856	11822	11816	11842	11836	11830	11784	11788	11786	11807	11793	11796	11808	11827	11841	11836	11828	11821	11820	11829	11828	11836	11837	11825	11837	11824	11802	11812	11794	11802	11825	11817	11838	11819	11833	11845	11843	11846	11857	11849	11846	11823	11834	11834	11833	11821	11834	11822	11848	11833	11817	11818	11829	11822	11821	11828	11827	11842	11860	11857	11854	11861	11864	11846	11857	11848	11877	11870	11869	11880	11890	11885	11849	11857	11832	11839	11830	11828	11811	11813	11832	11830	11829	11833	11816	11797	11783	11784	11786	11807	11806	11800	11827	11835	11831	11842	11856	11878	11870	11867	11858	11871	11855	11859	11855	11834	11828	11831	11834	11838	11803	11819	11836	11863	11876	11850	11838	11802	11801	11806	11804	11842	11848	11848	11833	11836	11841	11835	11837	11845	11841	11842	11846	11821	11836	11818	11812	11827	11842	11825	11822	11812	11808	11816	11821	11816	11831	11846	11848	11847	11857	11862	11856	11824	11827	11845	11853	11842	11833	11843	11842	11859	11840	11824	11832	11828	11846	11838	11838	11835	11816
3	11870	11827	11821	11831	11847	11864	11819	11778	11811	11816	11787	11797	11810	11805	11824	11807	11806	11802	11816	11821	11798	11791	11798	11818	11826	11836	11828	11831	11820	11805	11789	11793	11799	11792	11780	11785	11778	11762	11783	11821	11806	11813	11816	11801	11802	11789	11794	11835	11887	11853	11842	11841	11833	11807	11786	11796	11792	11789	11824	11828	11835	11824	11829	11840	11851	11830	11832	11796	11815	11815	11814	11824	11802	11796	11787	11796	11797	11795	11806	11824	11830	11819	11801	11797	11801	11776	11781	11808	11823	11814	11792	11804	11827	11815	11798	11814	11809	11798	11819	11803	11838	11849	11846	11839	11854	11838	11808	11772	11732	11791	11796	11797	11779	11773	11787	11790	11788	11789	11817	11826	11818	11805	11821	11809	11815	11805	11789	11800	11817	11812	11808	11770	11768	11798	11808	11808	11814	11822	11839	11854	11844	11840	11867	11875	11870	11858	11858	11858	11839	11806	11796	11794	11806	11823	11815	11819	11831	11835	11836	11848	11827	11838	11807	11795	11829	11834	11812	11818	11832	11804	11810	11808	11801	11817	11845	11829	11812	11813	11829	11810	11830	11862	11824	11857	11806	11813	11793	11764	11782	11780	11782	11804	11795	11806	11785	11778	11778	11806	11793	11787	11792	11788	11811	11802	11777	11773	11801	11792	11806	11796	11825	11851	11857	11865	11858	11850	11845	11847	11801	11764	11779	11787	11770	11775	11782	11809	11828	11837	11802	11797	11793	11780	11766	11778	11807	11839	11852	11826	11798	11810	11805	11826	11814	11846	11867	11844	11852	11880	11856	11838	11814	11803	11810	11805	11744	11745	11768	11800	11786	11803	11797	11777	11783	11768	11810	11796	11818	11825	11824	11820	11800	11801	11783	11817	11818	11831	11848	11833	11846	11834	11851	11831	11817	11833	11811	11810	11801	11814	11820	11831	11818	11818	11819	11800	11819	11826	11822	11830	11808	11814	11831	11824	11830	11828	11821	11814	11824	11810	11820	11811	11853	11839	11810	11864	11835	11803	11795	11781	11817	11870	11873	11838	11813	11773	11766	11748	11786	11767	11791	11827	11823	11828	11822	11812	11831	11793	11780	11794	11788	11808	11829	11832	11850	11867	11857	11850	11859	11834	11793	11781	11780	11765	11751	11752	11762	11769	11807	11815	11810	11780	11804	11809	11866	11847	11828	11816	11805	11765	11753	11748	11767	11795	11804	11789	11808	11818	11821	11832	11823	11841	11804	11802	11826	11837	11834	11831	11841	11826	11804	11798	11783	11765	11781	11796	11816	11841	11839	11847	11856	11859	11885	11873	11853	11868	11847	11867	11858	11835	11809	11800	11791	11759	11765	11772	11778	11800	11774	11782	11775	11817
4	11378	11391	11397	11410	11386	11398	11406	11421	11445	11420	11446	11428	11421	11411	11412	11424	11404	11439	11404	11388	11394	11385	11384	11358	11391	11404	11396	11423	11414	11436	11426	11423	11444	11426	11406	11428	11409	11412	11419	11419	11448	11452	11424	11430	11408	11404	11401	11386	11376	11371	11395	11413	11426	11419	11444	11427	11458	11451	11457	11459	11416	11414	11385	11386	11364	11354	11370	11366	11389	11388	11431	11405	11452	11445	11449	11431	11440	11423	11427	11415	11413	11412	11424	11439	11421	11446	11431	11444	11398	11400	11391	11395	11407	11373	11387	11383	11412	11370	11395	11391	11397	11413	11417	11419	11433	11452	11433	11475	11461	11446	11434	11435	11433	11418	11433	11424	11438	11431	11438	11436	11430	11427	11437	11423	11421	11425	11407	11386	11399	11400	11411	11395	11408	11420	11427	11434	11435	11410	11402	11382	11389	11371	11361	11381	11387	11409	11402	11388	11374	11365	11380	11387	11422	11426	11443	11417	11419	11388	11392	11405	11419	11423	11425	11426	11444	11441	11437	11433	11389	11402	11420	11415	11423	11416	11417	11416	11441	11415	11420	11398	11417	11386	11365	11424	11392	11396	11412	11435	11448	11410	11448	11453	11461	11386	11406	11397	11411	11397	11402	11434	11412	11446	11436	11401	11376	11375	11342	11368	11364	11389	11382	11396	11403	11399	11406	11404	11423	11407	11388	11387	11399	11415	11431	11424	11436	11438	11436	11413	11458	11430	11437	11403	11401	11405	11395	11401	11362	11366	11382	11356	11393	11432	11396	11398	11410	11409	11402	11385	11384	11422	11384	11407	11416	11447	11460	11423	11437	11395	11405	11392	11381	11418	11426	11435	11433	11455	11455	11436	11425	11383	11405	11364	11395	11419	11373	11413	11391	11389	11401	11408	11420	11411	11461	11431	11449	11448	11451	11484	11466	11448	11458	11440	11466	11465	11440	11456	11423	11403	11378	11388	11380	11357	11358	11394	11395	11381	11414	11428	11418	11400	11410	11405	11374	11402	11414	11439	11465	11420	11468	11442	11430	11414	11406	11439	11423	11397	11365	11374	11371	11362	11366	11386	11372	11377	11390	11386	11384	11394	11383	11416	11424	11438	11420	11417	11413	11430	11437	11441	11429	11454	11447	11451	11445	11424	11430	11454	11368	11418	11414	11379	11409	11430	11400	11413	11407	11408	11415	11397	11431	11424	11426	11434	11437	11450	11430	11444	11452	11433	11434	11418	11438	11430	11398	11366	11393	11384	11394	11412	11409	11399	11409	11405	11426	11427	11426	11425	11425	11410	11396	11419	11412	11399	11399	11367	11393	11377	11370	11377	11384	11401	11409	11438	11424	11429	11405	11427	11434	11428	11419	11408
5	11590	11553	11556	11538	11536	11563	11491	11427	11442	11425	11406	11439	11487	11464	11500	11447	11447	11471	11481	11504	11510	11506	11505	11523	11527	11558	11520	11519	11479	11495	11475	11459	11507	11519	11476	11465	11448	11449	11443	11509	11488	11562	11531	11529	11554	11532	11511	11550	11575	11539	11515	11488	11543	11525	11502	11532	11491	11516	11463	11472	11465	11486	11497	11531	11597	11585	11577	11552	11567	11570	11533	11510	11495	11445	11461	11467	11451	11433	11445	11464	11442	11388	11434	11407	11485	11474	11449	11467	11497	11488	11468	11457	11489	11476	11493	11466	11506	11483	11524	11503	11623	11597	11568	11605	11607	11607	11556	11497	11454	11467	11451	11458	11425	11460	11485	11476	11471	11448	11488	11497	11489	11515	11507	11490	11490	11501	11473	11500	11519	11520	11547	11477	11515	11509	11546	11468	11478	11488	11477	11538	11527	11506	11550	11540	11585	11563	11546	11581	11540	11523	11514	11478	11512	11485	11536	11523	11504	11477	11527	11529	11535	11556	11581	11543	11566	11497	11505	11448	11436	11427	11478	11441	11473	11493	11542	11509	11534	11506	11493	11496	11530	11540	11512	11503	11498	11476	11477	11531	11498	11492	11494	11505	11466	11489	11445	11478	11440	11471	11469	11421	11467	11458	11508	11493	11440	11484	11511	11491	11502	11480	11490	11527	11586	11566	11536	11550	11575	11530	11536	11493	11504	11486	11398	11443	11471	11527	11531	11553	11530	11479	11509	11475	11460	11507	11515	11535	11551	11511	11494	11495	11422	11467	11485	11545	11605	11508	11541	11583	11552	11522	11534	11458	11468	11452	11414	11446	11484	11457	11479	11483	11461	11463	11466	11413	11437	11441	11465	11455	11480	11504	11429	11490	11439	11466	11499	11544	11583	11549	11546	11566	11578	11523	11493	11507	11483	11483	11466	11457	11453	11445	11451	11430	11464	11485	11489	11533	11507	11544	11534	11526	11550	11560	11548	11552	11576	11501	11539	11458	11486	11511	11562	11534	11527	11549	11558	11546	11518	11518	11519	11550	11540	11493	11483	11435	11410	11375	11408	11412	11449	11504	11539	11530	11526	11535	11521	11476	11478	11470	11509	11468	11516	11488	11539	11602	11569	11581	11594	11569	11508	11492	11425	11408	11424	11423	11429	11472	11515	11502	11495	11424	11456	11507	11596	11569	11569	11568	11524	11390	11381	11375	11398	11394	11463	11459	11496	11488	11506	11518	11525	11492	11477	11478	11521	11564	11535	11536	11566	11479	11504	11469	11484	11450	11443	11481	11534	11577	11540	11554	11587	11592	11561	11586	11571	11606	11593	11616	11558	11535	11507	11492	11471	11415	11452	11439	11469	11458	11445	11444	11463	11497
6	12046	12014	11990	11991	11977	11964	11945	11888	11893	11906	11917	11908	11915	11904	11916	11895	11898	11896	11938	11952	11984	11966	11946	11982	11970	11988	11950	11934	11944	11908	11905	11911	11931	11946	11878	11893	11862	11886	11893	11978	11930	11971	11976	11969	11962	11958	11909	11944	11979	11952	11920	11924	11952	11978	11957	11982	11938	11910	11902	11897	11901	11931	11947	11952	12034	12017	12013	11969	11980	11977	11946	11954	11909	11898	11897	11906	11901	11887	11882	11862	11910	11882	11914	11896	11918	11894	11880	11897	11932	11910	11905	11907	11935	11950	11912	11948	11932	11921	11957	11955	12020	12017	12004	12025	12016	12022	11988	11954	11918	11933	11929	11914	11909	11915	11909	11944	11923	11894	11908	11935	11934	11909	11934	11957	11932	11943	11928	11930	11985	11997	11994	11987	11960	11977	11946	11949	11944	11945	11916	11962	11968	11958	11947	11958	11955	11952	11980	11967	11976	11957	11931	11899	11922	11908	11938	11964	11953	11923	11958	11977	11950	12010	12018	12008	11994	11969	11922	11863	11904	11897	11938	11944	11959	11936	11941	11932	11945	11937	11946	11941	11975	11954	11953	11956	11945	11947	11953	11966	11958	11972	11935	11938	11936	11958	11909	11939	11900	11932	11906	11915	11902	11872	11920	11956	11890	11906	11906	11932	11926	11926	11954	11972	11971	11963	11968	11998	11997	11987	11974	11938	11933	11937	11868	11910	11934	11961	11981	11994	11977	11932	11936	11912	11929	11938	11970	11987	11973	11955	11905	11929	11893	11904	11912	11937	11977	11963	11993	12022	11985	12000	11953	11907	11881	11916	11878	11900	11913	11909	11883	11890	11877	11891	11887	11903	11920	11903	11898	11919	11885	11912	11898	11915	11884	11908	11940	11948	11979	11969	11990	12009	12000	11954	11966	11936	11924	11908	11918	11917	11888	11903	11871	11909	11922	11911	11935	11947	11939	11989	11964	11962	11978	11993	11959	11979	11958	11955	11965	11916	11926	11949	11996	11972	11974	11955	11966	11964	11930	11957	11958	11998	12024	11945	11929	11894	11862	11849	11855	11870	11874	11900	11937	11951	11963	11966	11955	11949	11941	11933	11940	11959	11973	11977	12003	11994	12019	12003	12003	11978	11930	11900	11889	11848	11826	11874	11897	11905	11962	11943	11929	11875	11910	11940	12021	11995	11993	12004	11957	11872	11852	11818	11840	11883	11880	11879	11889	11929	11923	11983	11951	11977	11932	11917	11945	11969	11981	11977	11980	11936	11924	11948	11926	11924	11905	11953	11979	12001	11984	11982	12003	12018	12026	12022	12019	12049	12020	12026	11970	11970	11954	11918	11904	11859	11846	11854	11911	11895	11915	11915	11919	11943
7	12387	12319	12375	12352	12373	12354	12337	12378	12373	12359	12368	12350	12398	12421	12402	12392	12392	12378	12348	12378	12404	12381	12386	12396	12426	12403	12393	12380	12398	12401	12392	12366	12376	12376	12385	12395	12393	12422	12402	12411	12398	12398	12360	12361	12352	12339	12352	12367	12445	12419	12402	12404	12422	12367	12393	12387	12410	12373	12389	12400	12430	12402	12370	12404	12411	12361	12378	12341	12353	12386	12383	12386	12407	12392	12369	12404	12426	12412	12380	12362	12393	12359	12347	12389	12386	12417	12393	12387	12370	12366	12355	12348	12360	12379	12392	12379	12385	12385	12399	12402	12421	12447	12421	12413	12392	12392	12446	12396	12371	12400	12361	12369	12353	12318	12371	12386	12413	12393	12410	12420	12414	12384	12433	12409	12416	12434	12418	12404	12428	12403	12349	12341	12355	12363	12357	12333	12329	12355	12348	12369	12363	12386	12379	12403	12405	12429	12405	12378	12384	12372	12416	12410	12406	12420	12364	12352	12330	12348	12345	12389	12413	12380	12417	12378	12417	12418	12374	12403	12373	12401	12433	12425	12387	12423	12418	12385	12374	12369	12362	12384	12348	12350	12376	12379	12391	12436	12398	12373	12355	12335	12384	12377	12404	12388	12375	12403	12389	12372	12362	12343	12353	12370	12369	12351	12342	12332	12357	12327	12344	12334	12381	12396	12385	12374	12429	12400	12446	12482	12419	12407	12377	12368	12364	12323	12378	12373	12371	12384	12406	12427	12423	12431	12353	12337	12351	12375	12402	12399	12408	12385	12367	12373	12429	12413	12436	12401	12406	12424	12417	12424	12426	12384	12388	12387	12330	12321	12290	12304	12295	12325	12317	12335	12382	12358	12388	12402	12409	12375	12380	12378	12413	12386	12427	12443	12416	12405	12407	12376	12388	12388	12384	12343	12382	12391	12369	12360	12372	12393	12374	12393	12389	12376	12364	12344	12367	12363	12346	12372	12380	12365	12399	12340	12350	12395	12376	12377	12425	12402	12376	12412	12445	12429	12439	12366	12413	12417	12443	12419	12407	12417	12435	12399	12383	12356	12356	12309	12348	12326	12331	12354	12388	12371	12375	12350	12349	12345	12336	12343	12330	12356	12359	12393	12401	12400	12410	12396	12424	12420	12414	12428	12411	12441	12459	12429	12386	12404	12382	12382	12393	12343	12386	12380	12448	12429	12427	12407	12360	12326	12340	12317	12331	12357	12417	12366	12392	12382	12404	12396	12400	12379	12348	12364	12366	12381	12397	12411	12387	12401	12350	12374	12361	12356	12363	12368	12395	12385	12363	12391	12375	12362	12395	12407	12416	12412	12433	12405	12412	12419	12399	12391	12393	12378	12368	12356	12376	12381	12411	12425	12405	12394
8	12047	12014	11967	11952	11943	11965	11961	11964	12000	11997	12016	12026	12023	12046	12024	12031	12015	12000	11987	11996	12011	11996	12009	12041	12018	12046	12036	12029	12017	11995	11987	11973	11951	11934	11940	11941	11962	11958	11954	11967	12007	11962	12004	11988	11984	11975	11972	11948	12008	11978	11948	11965	11978	11968	11963	11994	11970	11963	11972	11963	11983	11972	11987	12018	12028	12058	12048	11994	11985	11956	11957	11930	11976	11983	11998	12003	12009	12019	12016	11992	12013	11978	11999	12006	11985	12014	11997	12016	11992	11980	12002	11994	12009	12021	12017	12009	12023	12016	12038	12045	12036	12041	12020	12000	12010	12017	12066	12062	12026	12038	12021	11978	11983	11975	11993	11991	12022	12005	12003	12005	11998	12006	12009	12024	12039	12041	12048	12045	12041	12008	11998	12001	11996	12007	12003	11982	12000	12002	11993	12004	12012	12013	11989	12014	12010	12019	12051	12042	12012	11993	12007	11986	11964	11960	11950	11945	11931	11940	11956	11985	12036	12022	12049	12009	12008	12028	12030	11991	11970	11981	11989	11984	11955	11988	11958	11957	11958	11937	11952	11927	11961	11961	11973	11963	11997	12016	12015	12017	12006	12026	12036	12035	12044	12020	12006	12010	12009	11982	11972	11940	11954	11967	11971	11999	11979	11962	11972	11967	11989	11987	11965	11969	11979	11970	11988	11981	12013	12034	12051	12019	12056	12039	11984	11978	12003	12008	12023	12043	12048	12035	12063	12062	12030	12001	12024	12009	11988	11955	11974	11963	11990	12022	12029	12044	12027	12043	12021	12024	12016	12014	11987	11948	11986	11964	11929	11927	11939	11920	11936	11939	11927	11935	11964	11961	11981	11968	11978	11975	12010	12011	12022	12032	12024	12032	12002	11982	11963	11930	11965	11970	11972	11962	11991	11983	12005	12001	12015	12001	12009	12027	11983	11969	11947	11929	11958	11978	11983	11991	12008	12017	12024	11988	11990	11987	11986	11972	12021	12027	12019	12043	12049	12055	12049	12002	12019	12028	12071	12041	12028	12028	11994	12016	12003	12002	12019	12000	12025	11998	12000	11982	11996	12019	11987	11980	11977	11941	11919	11924	11944	11945	11965	11999	12010	11979	11976	11992	12015	12004	11998	12008	12025	12023	12046	12032	12014	12000	11989	11995	12000	11972	12022	11984	12017	12010	12005	11977	11955	11949	11969	11957	11985	12000	12018	11996	11985	12013	12035	12027	12038	12003	12006	12013	12002	11963	11973	11981	11979	12013	12000	11993	11977	11956	11950	11938	11981	11942	11954	11953	11982	11971	12004	11994	12000	12015	12018	12013	12015	12025	12016	12015	12017	12011	12005	12021	12020	12017	12035	12027	11999	11997
9	11812	11775	11768	11739	11764	11774	11753	11722	11706	11709	11707	11727	11758	11732	11774	11764	11719	11718	11738	11754	11759	11759	11735	11732	11759	11746	11728	11736	11735	11765	11747	11752	11769	11753	11687	11687	11697	11684	11716	11765	11724	11750	11743	11714	11722	11707	11690	11727	11764	11753	11709	11724	11762	11743	11720	11729	11744	11743	11739	11738	11771	11750	11719	11735	11769	11772	11758	11725	11738	11729	11722	11704	11714	11715	11711	11719	11751	11735	11748	11749	11763	11765	11748	11759	11735	11738	11695	11725	11706	11697	11709	11735	11748	11733	11741	11730	11727	11713	11733	11741	11785	11776	11763	11740	11740	11741	11740	11719	11696	11731	11714	11701	11671	11682	11685	11704	11738	11719	11741	11736	11733	11704	11715	11728	11715	11759	11753	11755	11771	11767	11753	11721	11711	11707	11716	11709	11730	11737	11753	11761	11763	11778	11757	11759	11769	11748	11753	11770	11761	11740	11728	11698	11711	11694	11703	11710	11701	11759	11735	11758	11757	11782	11762	11739	11765	11778	11742	11726	11736	11734	11763	11741	11757	11759	11751	11769	11769	11749	11764	11767	11750	11774	11741	11785	11745	11765	11721	11730	11717	11704	11715	11720	11733	11708	11676	11728	11732	11726	11695	11700	11705	11698	11712	11689	11687	11687	11704	11696	11700	11721	11731	11764	11792	11791	11800	11787	11812	11808	11771	11722	11724	11700	11673	11685	11694	11712	11732	11732	11739	11711	11731	11709	11706	11719	11762	11773	11788	11755	11729	11727	11727	11722	11745	11764	11774	11769	11766	11779	11740	11746	11727	11698	11720	11721	11680	11686	11676	11703	11683	11691	11695	11710	11709	11704	11736	11736	11718	11720	11712	11729	11727	11740	11710	11734	11746	11726	11757	11730	11751	11777	11781	11746	11724	11689	11686	11694	11687	11721	11715	11749	11749	11786	11787	11745	11762	11781	11777	11778	11766	11757	11767	11736	11721	11736	11748	11746	11767	11744	11746	11740	11776	11781	11776	11784	11769	11748	11720	11739	11714	11754	11774	11727	11692	11718	11702	11697	11696	11715	11707	11703	11714	11737	11764	11755	11780	11764	11739	11749	11726	11723	11761	11758	11757	11781	11789	11782	11793	11752	11713	11694	11693	11683	11680	11702	11695	11713	11755	11732	11740	11719	11719	11730	11785	11781	11731	11736	11718	11671	11681	11664	11668	11723	11731	11716	11703	11724	11734	11742	11760	11756	11730	11729	11726	11739	11767	11772	11769	11749	11718	11731	11706	11684	11694	11731	11730	11778	11763	11778	11794	11783	11828	11798	11798	11805	11815	11808	11789	11790	11747	11733	11705	11657	11656	11665	11689	11708	11722	11721	11712	11736
10	11264	11245	11268	11267	11260	11245	11262	11269	11280	11222	11274	11265	11286	11274	11275	11281	11239	11266	11196	11229	11222	11239	11249	11277	11280	11315	11289	11312	11297	11335	11350	11351	11326	11307	11255	11281	11270	11281	11298	11316	11378	11346	11349	11351	11353	11322	11337	11278	11313	11288	11256	11284	11260	11319	11303	11345	11346	11347	11329	11351	11319	11318	11309	11274	11236	11296	11258	11204	11235	11219	11268	11247	11288	11288	11315	11343	11312	11300	11324	11292	11314	11312	11312	11307	11291	11297	11242	11244	11219	11240	11207	11237	11247	11234	11243	11235	11245	11256	11226	11196	11221	11296	11318	11284	11321	11344	11399	11349	11344	11345	11357	11336	11328	11291	11310	11331	11307	11316	11312	11341	11362	11308	11326	11307	11331	11337	11338	11279	11285	11254	11299	11326	11321	11346	11368	11314	11297	11312	11326	11334	11304	11347	11341	11354	11353	11353	11328	11339	11310	11323	11298	11298	11259	11252	11306	11256	11258	11283	11256	11293	11333	11326	11358	11308	11321	11318	11310	11278	11279	11263	11304	11303	11318	11328	11292	11295	11274	11238	11297	11291	11318	11304	11274	11337	11317	11334	11325	11354	11349	11347	11323	11340	11378	11298	11280	11265	11282	11327	11302	11253	11311	11316	11346	11309	11284	11265	11303	11282	11272	11314	11289	11296	11308	11281	11307	11325	11306	11349	11326	11270	11263	11272	11247	11270	11328	11303	11310	11294	11333	11264	11271	11266	11216	11233	11286	11256	11290	11270	11287	11303	11286	11352	11296	11354	11318	11316	11323	11346	11340	11318	11327	11285	11273	11227	11240	11210	11225	11207	11245	11262	11254	11297	11318	11303	11314	11347	11338	11322	11338	11340	11319	11307	11289	11292	11263	11256	11277	11246	11259	11258	11309	11328	11340	11323	11334	11368	11347	11333	11324	11357	11339	11313	11350	11316	11282	11286	11266	11253	11242	11221	11217	11187	11191	11219	11218	11265	11298	11319	11289	11268	11286	11264	11255	11291	11318	11297	11324	11322	11361	11379	11342	11314	11302	11272	11292	11217	11180	11166	11174	11178	11230	11216	11210	11220	11241	11269	11268	11247	11265	11295	11355	11356	11340	11351	11305	11315	11308	11316	11318	11310	11318	11315	11280	11319	11295	11344	11234	11305	11288	11234	11335	11308	11314	11315	11321	11329	11311	11286	11286	11268	11262	11266	11263	11233	11240	11285	11345	11322	11332	11310	11299	11284	11327	11305	11308	11320	11303	11330	11297	11323	11358	11296	11281	11241	11267	11261	11255	11228	11268	11266	11279	11278	11272	11260	11270	11300	11267	11304	11270	11289	11339	11293	11333	11334	11346	11322	11334	11350	11313	11358
